,userid
0,14
1,230
2,234
3,264
4,312
5,313
6,378
7,392
8,437
9,504
10,530
11,532
12,634
13,642
14,659
15,666
16,682
17,707
18,768
19,784
20,792
21,834
22,891
23,922
24,956
25,1016
26,1030
27,1079
28,1276
29,1359
30,1370
31,1375
32,1637
33,1660
34,1677
35,1722
36,1851
37,2030
38,2039
39,2087
40,2227
41,2281
42,2285
43,2407
44,2432
45,2492
46,2561
47,2565
48,2683
49,2699
50,2723
51,2893
52,2926
53,2927
54,2939
55,3016
56,3023
57,3049
58,3053
59,3110
60,3122
61,3155
62,3228
63,3244
64,3347
65,3358
66,3389
67,3478
68,3524
69,3529
70,3536
71,3544
72,3550
73,3557
74,3570
75,3586
76,3648
77,3663
78,3675
79,3680
80,3724
81,3736
82,3775
83,3788
84,3867
85,3940
86,3970
87,3992
88,4056
89,4061
90,4130
91,4212
92,4344
93,4382
94,4405
95,4417
96,4442
97,4479
98,4500
99,4519
100,4556
101,4634
102,4661
103,4691
104,4714
105,4717
106,4719
107,4826
108,4829
109,4851
110,4869
111,4872
112,4887
113,4923
114,4975
115,5005
116,5016
117,5019
118,5145
119,5152
120,5342
121,5382
122,5398
123,5424
124,5500
125,5511
126,5520
127,5559
128,5561
129,5606
130,5677
131,5767
132,5775
133,5839
134,5913
135,5916
136,5945
137,5950
138,6035
139,6094
140,6209
141,6319
142,6410
143,6415
144,6441
145,6442
146,6462
147,6502
148,6538
149,6570
150,6641
151,6650
152,6681
153,6683
154,6724
155,6771
156,6828
157,6861
158,7189
159,7216
160,7313
161,7342
162,7375
163,7404
164,7624
165,7687
166,7734
167,7742
168,7960
169,7978
170,8062
171,8109
172,8176
173,8226
174,8235
175,8266
176,8337
177,8366
178,8429
179,8436
180,8483
181,8520
182,8561
183,8629
184,8639
185,8677
186,8840
187,8852
188,8882
189,8951
190,8983
191,8990
192,8995
193,9121
194,9122
195,9142
196,9198
197,9331
198,9393
199,9402
200,9477
201,9596
202,9598
203,9732
204,9757
205,9772
206,9861
207,9883
208,9948
209,10018
210,10109
211,10130
212,10150
213,10278
214,10347
215,10421
216,10476
217,10498
218,10503
219,10600
220,10602
221,10616
222,10652
223,10656
224,10688
225,10712
226,10715
227,10716
228,10729
229,10745
230,10767
231,10848
232,10849
233,10881
234,10918
235,10947
236,10956
237,10963
238,10987
239,11017
240,11041
241,11070
242,11071
243,11320
244,11352
245,11382
246,11430
247,11440
248,11505
249,11534
250,11546
251,11624
252,11664
253,12043
254,12050
255,12066
256,12122
257,12126
258,12132
259,12143
260,12164
261,12175
262,12197
263,12228
264,12241
265,12269
266,12328
267,12376
268,12394
269,12416
270,12487
271,12523
272,12558
273,12587
274,12628
275,12647
276,12652
277,12665
278,12674
279,12743
280,12751
281,12758
282,12773
283,12783
284,12792
285,12885
286,12908
287,12925
288,12942
289,12998
290,13005
291,13031
292,13032
293,13036
294,13040
295,13042
296,13062
297,13067
298,13068
299,13070
300,13073
301,13077
302,13079
303,13121
304,13152
305,13172
306,13174
307,13205
308,13216
309,13256
310,13258
311,13261
312,13268
313,13272
314,13275
315,13311
316,13313
317,13316
318,13340
319,13342
320,13360
321,13361
322,13362
323,13369
324,13372
325,13374
326,13380
327,13381
328,13384
329,13386
330,13409
331,13412
332,13415
333,13417
334,13419
335,13425
336,13429
337,13431
338,13454
339,13464
340,13467
341,13468
342,13479
343,13500
344,13503
345,13505
346,13507
347,13508
348,13513
349,13515
350,13586
351,13587
352,13592
353,13597
354,13602
355,13603
356,13617
357,13644
358,13652
359,13690
360,13698
361,13743
362,13787
363,13788
364,13789
365,13790
366,13791
367,13792
368,13793
369,13794
370,13795
371,13796
372,13798
373,13799
374,13800
375,13801
376,13802
377,13803
378,13804
379,13805
380,13806
381,13807
382,13808
383,13809
384,13810
385,13811
386,13812
387,13813
388,13814
389,13815
390,13816
391,13817
392,13818
393,13819
394,13820
395,13821
396,13822
397,13823
398,13824
399,13825
400,13826
401,13827
402,13828
403,13829
404,13830
405,13831
406,13832
407,13833
408,13834
409,13835
410,13836
411,13837
412,13838
413,13839
414,13840
415,13841
416,13842
417,13843
418,13844
419,13845
420,13846
421,13847
422,13848
423,13849
424,13850
425,13851
426,13852
427,13853
428,13854
429,13855
430,13856
431,13857
432,13858
433,13859
434,13860
435,13861
436,13862
437,13863
438,13864
439,13865
440,13866
441,13867
442,13868
443,13869
444,13870
445,13871
446,13872
447,13873
448,13874
449,13875
450,13876
451,13877
452,13878
453,13879
454,13880
455,13881
456,13882
457,13883
458,13884
459,13885
460,13886
461,13887
462,13888
463,13889
464,13890
465,13891
466,13892
467,13893
468,13894
469,13895
470,13896
471,13897
472,13898
473,13899
474,13900
475,13901
476,13902
477,13903
478,13904
479,13905
480,13906
481,13907
482,13908
483,13909
484,13910
485,13911
486,13912
487,13913
488,13914
489,13915
490,13916
491,13917
492,13918
493,13919
494,13920
495,13921
496,13922
497,13923
498,13924
499,13925
500,13926
501,13927
502,13928
503,13929
504,13930
505,13931
506,13932
507,13933
508,13934
509,13935
510,13936
511,13937
512,13938
513,13939
514,13940
515,13941
516,13942
517,13943
518,13944
519,13945
520,13946
521,13947
522,13948
523,13949
524,13950
525,13951
526,13952
527,13953
528,13954
529,13955
530,13956
531,13957
532,13958
533,13959
534,13960
535,13961
536,13962
537,13963
538,13964
539,13965
540,13966
541,13967
542,13968
543,13969
544,13970
545,13971
546,13972
547,13973
548,13974
549,13975
550,13976
551,13977
552,13978
553,13979
554,13980
555,13981
556,13986
557,14004
558,14013
559,14029
560,14032
561,14060
562,14077
563,14108
564,14125
565,14245
566,14247
567,14255
568,14272
569,14281
570,14295
571,14344
572,14378
573,14379
574,14471
575,14473
576,14479
577,14519
578,14540
579,14585
580,14587
581,14604
582,14607
583,14614
584,14658
585,14676
586,14689
587,14694
588,14696
589,14754
590,14772
591,14926
592,14933
593,15010
594,15019
