,userid,steamid
0,20099,STEAM_0:1:107279107
1,20112,STEAM_0:0:80674599
2,20126,STEAM_0:1:170397369
3,20186,STEAM_0:0:649286043
4,20190,STEAM_0:0:186317116
5,20211,STEAM_0:0:602895592
6,20290,STEAM_0:0:89506053
7,20333,0
8,20364,STEAM_0:0:511211283
9,20384,STEAM_0:1:860849479
10,20413,STEAM_0:1:713909904
11,20420,STEAM_0:1:200202418
12,20439,STEAM_0:0:1732995
13,20517,STEAM_0:0:508851599
14,20566,0
15,20778,STEAM_0:1:535874041
16,20796,STEAM_0:0:30850097
17,20803,STEAM_0:0:570783357
18,20856,STEAM_0:0:79284080
19,20957,STEAM_0:0:183400500
20,20964,STEAM_0:0:589732120
21,20981,STEAM_0:1:596058922
22,20995,STEAM_0:0:532514332
23,21006,STEAM_0:1:870101019
24,21038,0
25,21039,0
26,21060,STEAM_0:1:568809185
27,21078,STEAM_0:0:8680962
28,21093,STEAM_0:1:501228199
29,21134,STEAM_0:0:80036399
30,21135,STEAM_0:0:55408994
31,21141,STEAM_0:0:868452094
32,21170,STEAM_0:1:232279406
33,21198,STEAM_0:0:227421585
34,21220,STEAM_0:0:556863928
35,21231,STEAM_0:1:596142994
36,21297,STEAM_0:0:440907
37,21570,STEAM_0:0:776870558
38,21575,STEAM_0:0:434286060
39,21699,STEAM_0:0:600525143
40,21744,STEAM_0:1:530731840
41,21787,STEAM_0:0:650174744
42,21788,STEAM_0:1:620271506
43,21845,STEAM_0:0:536750680
44,21863,STEAM_0:1:482831535
45,21872,STEAM_0:0:689009004
46,21876,STEAM_0:1:546390476
47,21886,STEAM_0:0:239422148
48,21898,STEAM_0:0:627442667
49,21959,STEAM_0:1:53531997
50,21987,STEAM_0:0:806721251
51,21995,STEAM_0:1:234621073
52,21996,STEAM_0:0:156229258
53,22043,STEAM_0:1:124459556
54,22046,STEAM_0:0:565650281
55,22177,STEAM_0:0:720113426
56,22236,STEAM_0:1:558654242
57,22326,STEAM_0:0:66041937
58,22363,STEAM_0:0:710034006
59,22389,STEAM_0:1:609904858
60,22398,STEAM_0:1:517977134
61,22624,STEAM_0:0:595131639
62,22645,STEAM_0:0:793363975
63,22668,STEAM_0:1:517352867
64,22687,STEAM_0:0:591154985
65,22689,STEAM_0:1:159317847
66,22707,STEAM_0:0:426738475
67,22724,STEAM_0:1:227648344
68,22821,STEAM_0:0:160804663
69,22895,STEAM_0:1:38218457
70,22912,STEAM_0:0:561336076
71,23044,STEAM_0:1:581623612
72,23126,STEAM_0:0:231325397
73,23176,STEAM_0:1:182954744
74,23246,STEAM_0:1:176653862
75,23264,STEAM_0:0:524020471
76,23280,STEAM_0:0:154308737
77,23377,STEAM_0:0:167576299
78,23502,STEAM_0:0:689459196
79,23662,STEAM_0:0:539612717
80,23665,STEAM_0:0:198542096
81,23727,STEAM_0:1:78115136
82,23759,STEAM_0:1:561979990
83,23787,STEAM_0:0:233091637
84,23788,STEAM_0:0:92122320
85,23814,STEAM_0:1:515494609
86,23821,STEAM_0:0:614516009
87,23829,STEAM_0:1:779468507
88,23873,STEAM_0:0:612439095
89,23902,STEAM_0:0:96377060
90,23927,0
91,23980,STEAM_0:1:857719530
92,23993,STEAM_0:1:570833747
93,23996,STEAM_0:0:616971011
94,24025,STEAM_0:1:2568196
95,24076,STEAM_0:1:227851745
96,24085,STEAM_0:0:177204338
97,24116,STEAM_0:1:55193232
98,24184,STEAM_0:1:225652460
99,24212,STEAM_0:1:56208957
100,24259,STEAM_0:0:484300796
101,24303,STEAM_0:1:784692977
102,24312,STEAM_0:0:616893423
