,0
1,STEAM_0:1:712889956
2,STEAM_0:0:564420652
3,STEAM_0:1:467340823
4,STEAM_0:0:541176134
5,STEAM_0:1:814354142
6,STEAM_0:1:501943724
7,STEAM_0:0:580022232
8,STEAM_0:0:570277314
9,STEAM_0:0:1501860
10,STEAM_0:1:103498898
11,STEAM_0:1:592830513
12,STEAM_0:0:65191962
13,STEAM_0:0:563232019
14,STEAM_0:1:768200674
15,STEAM_0:1:156681930
16,STEAM_0:1:622009471
17,STEAM_0:0:196679090
18,STEAM_0:1:33239343
19,STEAM_0:1:234134236
20,STEAM_0:1:112349182
21,STEAM_0:0:663605289
22,STEAM_0:1:61144605
23,STEAM_0:1:624301423
24,STEAM_0:0:712227353
25,STEAM_0:0:531973983
26,STEAM_0:0:550038185
27,STEAM_0:1:78133393
28,STEAM_0:0:46988533
29,STEAM_0:0:650427323
30,STEAM_0:1:426770384
31,STEAM_0:0:531386536
32,STEAM_0:0:68733321
33,STEAM_0:1:54090389
34,STEAM_0:1:550858416
35,STEAM_0:1:422524598
36,STEAM_0:1:148682635
37,STEAM_0:1:616176895
38,STEAM_0:0:579800072
39,STEAM_0:1:517224068
40,STEAM_0:1:491043341
41,STEAM_0:1:4559604
42,STEAM_0:0:664031291
43,STEAM_0:0:203963164
44,STEAM_0:0:714731516
45,STEAM_0:0:571104283
46,STEAM_0:1:497841609
47,STEAM_0:0:145613020
48,STEAM_0:0:859108948
49,STEAM_0:1:755481184
50,STEAM_0:0:594053266
51,STEAM_0:1:421194020
52,STEAM_0:1:180913931
53,STEAM_0:0:531508724
54,STEAM_0:1:14944535
55,STEAM_0:1:810039603
56,STEAM_0:0:435568006
57,STEAM_0:1:623763672
58,STEAM_0:1:682341595
59,STEAM_0:1:155371155
60,STEAM_0:0:54864875
61,STEAM_0:0:715733334
62,STEAM_0:0:602526922
63,STEAM_0:0:789922973
64,STEAM_0:1:535856863
65,STEAM_0:0:137818750
66,STEAM_0:0:447480360
67,STEAM_0:0:594151756
68,STEAM_0:1:106393601
69,STEAM_0:1:852700503
70,STEAM_0:1:512063484
71,STEAM_0:0:61623824
72,STEAM_0:0:838557962
73,STEAM_0:1:223190943
74,STEAM_0:1:109203514
75,STEAM_0:1:776152414
76,STEAM_0:0:203354599
77,STEAM_0:0:184652976
78,STEAM_0:0:142664446
79,STEAM_0:0:183327485
80,STEAM_0:1:453250830
81,STEAM_0:1:619333616
82,STEAM_0:1:562466540
83,STEAM_0:1:433314941
84,STEAM_0:1:792427373
85,STEAM_0:0:8345722
86,STEAM_0:0:167116574
87,STEAM_0:0:429766534
88,STEAM_0:0:131605148
89,STEAM_0:1:19025186
90,STEAM_0:0:93887463
91,STEAM_0:0:60830157
92,STEAM_0:0:753389365
93,STEAM_0:0:556275981
94,STEAM_0:1:193202732
95,STEAM_0:1:31176865
96,STEAM_0:0:576446389
97,STEAM_0:1:211103394
98,STEAM_0:1:95036760
99,err_20099
100,STEAM_0:0:103824602
101,STEAM_0:1:92721374
102,STEAM_0:1:205865733
103,STEAM_0:1:61197537
104,STEAM_0:0:863054843
105,STEAM_0:1:58440883
106,STEAM_0:0:235400101
107,STEAM_0:1:564663929
108,STEAM_0:1:86640097
109,STEAM_0:1:551116227
110,STEAM_0:0:863143354
111,STEAM_0:0:484081924
112,err_20112
113,STEAM_0:1:425068201
114,STEAM_0:1:90110354
115,STEAM_0:1:783461525
116,STEAM_0:0:510968276
117,STEAM_0:0:166731797
118,STEAM_0:1:549210705
119,STEAM_0:1:197271837
120,STEAM_0:1:237476259
121,STEAM_0:1:423062028
122,STEAM_0:0:533541787
123,STEAM_0:0:631222529
124,STEAM_0:1:60980210
125,STEAM_0:1:114422137
126,err_20126
127,STEAM_0:0:536215914
128,STEAM_0:1:525888541
129,STEAM_0:1:863569748
130,STEAM_0:0:629130025
131,STEAM_0:1:208384376
132,STEAM_0:1:242623168
133,STEAM_0:1:666701612
134,STEAM_0:1:597359719
135,STEAM_0:0:522397617
136,STEAM_0:1:45149794
137,STEAM_0:1:209626510
138,STEAM_0:0:44770120
139,STEAM_0:0:470968256
140,STEAM_0:0:172984524
141,STEAM_0:0:674206676
142,STEAM_0:1:238418893
143,STEAM_0:1:560909074
144,STEAM_0:1:555773109
145,STEAM_0:0:85643939
146,STEAM_0:1:78464314
147,STEAM_0:0:151484604
148,STEAM_0:1:722185358
149,STEAM_0:1:714087725
150,STEAM_0:0:663698006
151,STEAM_0:1:199555703
152,STEAM_0:0:503949234
153,STEAM_0:0:803407122
154,STEAM_0:1:123939058
155,STEAM_0:0:626178725
156,STEAM_0:1:777460407
157,STEAM_0:0:848690929
158,STEAM_0:0:736265098
159,STEAM_0:0:677864499
160,STEAM_0:1:657984115
161,STEAM_0:1:63658016
