,0
1,STEAM_0:0:502581385
2,STEAM_0:0:228028865
3,STEAM_0:1:645212878
4,STEAM_0:1:489794024
5,STEAM_0:1:219068826
6,STEAM_0:0:498630341
7,STEAM_0:1:426324390
8,STEAM_0:0:562409388
9,STEAM_0:1:219503382
10,STEAM_0:0:611763114
11,STEAM_0:1:591468780
12,STEAM_0:1:526143622
13,STEAM_0:1:510618256
14,STEAM_0:0:713951431
15,STEAM_0:0:184780054
16,STEAM_0:0:645502295
17,STEAM_0:1:530691544
18,err_10018
19,STEAM_0:0:618976489
20,STEAM_0:1:558264974
21,STEAM_0:0:242094285
22,STEAM_0:0:485751034
23,STEAM_0:1:218698515
24,STEAM_0:1:745446538
25,STEAM_0:1:547178575
26,STEAM_0:1:231491867
27,STEAM_0:0:88117581
28,STEAM_0:1:703240664
29,STEAM_0:1:741169093
30,STEAM_0:1:712101693
31,STEAM_0:1:746316907
32,STEAM_0:0:172518051
33,STEAM_0:0:72682470
34,STEAM_0:1:109341390
35,STEAM_0:0:163828172
36,STEAM_0:0:566394140
37,STEAM_0:1:747522998
38,STEAM_0:0:68205187
39,STEAM_0:0:10307947
40,STEAM_0:1:49055
41,STEAM_0:1:746365162
42,STEAM_0:0:93673214
43,STEAM_0:1:613429794
44,STEAM_0:1:69557337
45,STEAM_0:1:200971279
46,STEAM_0:1:633671078
47,STEAM_0:1:611828890
48,STEAM_0:1:230621543
49,STEAM_0:1:506145558
50,STEAM_0:0:593002954
51,STEAM_0:0:424423721
52,STEAM_0:1:211355535
53,STEAM_0:0:597187698
54,STEAM_0:1:220186220
55,STEAM_0:1:590655212
56,STEAM_0:1:243886775
57,STEAM_0:1:590975171
58,STEAM_0:1:577539221
59,STEAM_0:1:88232106
60,STEAM_0:0:168165915
61,STEAM_0:1:440722554
62,STEAM_0:1:629892071
63,STEAM_0:1:439310350
64,STEAM_0:1:163976933
65,STEAM_0:1:104968226
66,STEAM_0:1:633619457
67,STEAM_0:1:526884044
68,STEAM_0:0:555002729
69,STEAM_0:1:535010927
70,STEAM_0:1:48481724
71,STEAM_0:0:86717112
72,STEAM_0:0:566267793
73,STEAM_0:0:586207620
74,STEAM_0:1:656115930
75,STEAM_0:0:109587555
76,STEAM_0:1:611744095
